20 20 
BAVARIA    Bavaria       Kreposnoi_pruss(BA) 9 1 1 - -
DENMARK    Denmark       Kreposnoi_pruss(DA) 9 1 1 - - 
AUSTRIA    Austria       Kreposnoi_pruss(au) 9 1 1 - -
ENGLAND    England       Krestian_Sved(en)   9 1 1 - -
FRANCE     France        Krestian_Sved(fr)   9 1 1 - -
HOLLAND    Netherlands   Krestian_Sved(HO)   9 1 1 - -
PIEMONT    Piemonte      Kreposnoi_portugal(PI)   9 1 1 - -
PORTUGALIA Portugal      Kreposnoi_portugal(PO)   9 1 1 - -
GERMAN     Prussia       Kreposnoi_pruss(GE) 9 1 1 - -
RUSSIA     Russia        Kreposnoi(RU)   9 1 1 - -
POLAND     Poland        Kreposnoi_evro(PL)   9 1 1 - -
SAKSINIA   Saxony        Kreposnoi_pruss(SA)   9 1 1 - -
SPAIN      Spain         Kreposnoi_portugal(sp)   9 1 1 - -
SVEDEN     Sweden        Krestian_Sved(SV)   9 1 1 - -
UKRAINE    Ukraine       Kres_ukranian(UA)   9 1 1 - -
VENECIA    Venice        Kreposnoi_portugal(VE)   9 1 1 - -
ALGIR      Algeria       Krestian_Turki(AL)  9 1 1 - -
TURKISH    Turkey        Krestian_Turki(TU)   9 1 1 - -
VENGRIA    Vengria       Kreposnoi_pruss(VG)   9 1 1 - -
SWITZERLAND Switzerland  Krestian_Sved(SW)   9 1 1 - -
