#Kreposnoi_pruss(BA)
5000 5000 5000 5000 5000 5000
22
Krestian_Sved(SW) M
Kreposnoi_pruss(VG) N
Kreposnoi_pruss(BA) E
Kreposnoi_pruss(DA) R
Kreposnoi_pruss(au) T
Krestian_Turki(AL) Y
Krestian_Sved(en) U
Krestian_Sved(fr) I
Kreposnoi_pruss(GE) O
Krestian_Sved(HO) P
Kreposnoi_portugal(PI) A
Kreposnoi_evro(PL) S
Kreposnoi_portugal(PO) D
Kreposnoi(RU) F
Kreposnoi_pruss(SA) G
Kreposnoi_portugal(sp) H
Krestian_Sved(SV) J
Krestian_Turki(TU) K
Kres_ukranian(UA) L
Kreposnoi_portugal(VE) Z
BGAUZ(BA)  Q
BGAUZ2(BA) W
20 19
                    Q           











                      MMMMMMMMMMMM
        EEEEEEEEEEEE  RRRRRRRRRRRR 
        TTTTTTTTTTTT  YYYYYYYYYYYY 
        UUUUUUUUUUUU  IIIIIIIIIIII      
        OOOOOOOOOOOO  PPPPPPPPPPPP      
 Q      AAAAAAAAAAAA  SSSSSSSSSSSS     W
        DDDDDDDDDDDD  FFFFFFFFFFFF       
        GGGGGGGGGGGG  HHHHHHHHHHHH
        JJJJJJJJJJJJ  KKKKKKKKKKKK
        LLLLLLLLLLLL  ZZZZZZZZZZZZ
        NNNNNNNNNNNN










                    W
#Kreposnoi_pruss(DA)
5000 5000 5000 5000 5000 5000
22
Krestian_Sved(SW) M
Kreposnoi_pruss(VG) N
Kreposnoi_pruss(BA) E
Kreposnoi_pruss(DA) R
Kreposnoi_pruss(au) T
Krestian_Turki(AL) Y
Krestian_Sved(en) U
Krestian_Sved(fr) I
Kreposnoi_pruss(GE) O
Krestian_Sved(HO) P
Kreposnoi_portugal(PI) A
Kreposnoi_evro(PL) S
Kreposnoi_portugal(PO) D
Kreposnoi(RU) F
Kreposnoi_pruss(SA) G
Kreposnoi_portugal(sp) H
Krestian_Sved(SV) J
