//Textures discription
//W - unlocked water
//L - locked land
//U - unlocked land
//----Media discription----
//#-media descripton is present
//Media types:
//WOOD,STONE,IRON,FLASH,WATER
//WATER 45 # WATER
80 80 P
81 81 P
82 82 P
136 136 P
137 137 P
138 138 P
139 139 P
140 140 P
141 141 P
142 142 P
143 143 P
110 110 P
144 144 P
145 145 P
146 146 P
147 147 P
FORSTRELA 0 # FLASH
FORSTRELA 1 # FLASH
FORSTRELA 2 # FLASH
FORSTRELA 3 # FLASH
FORSTRELA 4 # FLASH
FORSTRELA 5 # FLASH
FORSTRELA 6 # FLASH
FORSTRELA 7 # FLASH
FORSTRELA 8 # FLASH
FORSTRELA 9 # FLASH
FORSTRELA 10 # FLASH
FORSTRELA 11 # FLASH
FORSTRELA 12 # FLASH
FORSTRELA 13 # FLASH
FORSTRELA 14 # FLASH
FORSTRELA 15 # FLASH
FORSTRELA 16 # FLASH
FORSTRELA 17 # FLASH
FORSTRELA 18 # FLASH
FORSTRELA 19 # FLASH
FORSTRELA 20 # FLASH
FORSTRELA 21 # FLASH
FORSTRELA 22 # FLASH
FORSTRELA 23 # FLASH
FORSTRELA 24 # FLASH
FORSTRELA 25 # FLASH
FORSTRELA 26 # FLASH
FORSTRELA 27 # FLASH
FORSTRELA 28 # FLASH
FORSTRELA 29 # FLASH
FORSTRELA 30 # FLASH
FORSTRELA 31 # FLASH
FORSTRELA 32 # FLASH
FORSTRELA 33 # FLASH
FORSTRELA 34 # FLASH
FORSTRELA 35 # FLASH
FORSTRELA 36 # FLASH
FORSTRELA 37 # FLASH
FORSTRELA 38 # FLASH
#MULTI 110 109 110 108
FORSTRELA 39 # FLASH
#MULTI 143 139 143 139
FORSTRELA 40 # FLASH
#MULTI 81 82 81 80
#MULTI 142 139 142 139
#ROAD 0 0
#ROAD 1 1
#ROAD 2 2
